mass [MeV/c^2],Limit on sigma [cm^2]
10,9.89e-38
11,3.89e-38
12,2.00e-38
13,1.46e-38
14,6.24e-39
15,1.66e-39
16,6.84e-40
17,3.50e-40
18,2.07e-40
19,1.35e-40
20,9.45e-41
25,2.95e-41
30,1.57e-41
40,8.31e-42
50,6.26e-42
60,5.47e-42
70,5.14e-42
80,5.03e-42
90,5.03e-42
100,5.11e-42
150,5.94e-42
200,7.03e-42
250,8.22e-42
300,9.44e-42
400,1.19e-41
500,1.45e-41
600,1.70e-41
700,1.95e-41
800,2.21e-41
900,2.47e-41
1000,2.72e-41
