"""mass""/1000","coupling"
1.1672650000000002,2.969511e-11
1.1672650000000002,6.726246335106083e-11
1.1672650000000002,1.5084788474416678e-10
1.1672650000000002,3.3830286906122567e-10
1.1672650000000002,7.587035867898208e-10
1.1672650000000002,1.7015260148549303e-9
1.1672650000000002,3.815970860870796e-9
1.1672650000000002,8.557984705427206e-9
1.1672650000000002,1.9192783406530785e-8
1.1672650000000002,4.304318686809514e-8
1.1672650000000002,9.653190454550375e-8
1.1672650000000002,2.1648974607150438e-7
1.1672650000000002,4.855162692041545e-7
1.1672650000000002,1.0888554859501893e-6
1.1672650000000002,2.4419496204055842e-6
1.1672650000000002,5.476500807997746e-6
1.1672650000000002,0.000012282014685879788
1.1672650000000002,0.00002754457454363419
1.1672650000000002,0.00006177354499193657
1.1672650000000002,0.00013853802151947596
1.1672650000000002,0.00031069583927935656
1.1672650000000002,0.000696789974959568
1.1672650000000002,0.0015626738688560658
1.1672650000000002,0.003504570542288996
1.1672650000000002,0.007859614811931726
1.1672650000000002,0.01762656629293854
1.1672650000000002,0.03953066997732358
1.1672650000000002,0.08865446865179305
1.1672650000000002,0.19882321287345556
1.1672650000000002,0.44589596642429447
1.1672650000000002,1.
1.1789376500000002,1
1.3165255063290502,1
1.4701705461819476,1
1.641746722315845,1
1.8333466870456858,1
2.0473073155645767,1
2.2862382079619077,1
2.5530535175680162,1
2.8510074938241177,1
3.1837341731810103,1
3.5552917021220156,1
3.9702118329019833,1
4.433555195683902,1
4.950973021207305,1
5.528776066797444,1
6.174011586380703,1
6.894549283281671,1
7.699177294136795,1
8.597709374605662,1
9.601104594185061,1
10.721601000000007,1
10.8299,1.
10.8299,0.2923590015542843
10.8299,0.08547378578981767
10.8299,0.02498903067257576
10.8299,0.0073057680572436055
10.8299,0.002135907054802915
10.8299,0.0006244516539549297
10.8299,0.00018256406206918434
10.8299,0.000053374246906240896
10.8299,0.000015604441534220374
10.8299,4.562098946756863e-6
10.8299,1.333770693065683e-6
10.8299,3.899398681270473e-7
10.8299,1.1400243051183238e-7
10.8299,3.332963675920085e-8
10.8299,9.744219325086934e-9
10.8299,2.8488102328083545e-9
10.8299,8.328753152814787e-10
10.8299,2.4349859559490187e-10
10.8299,7.118900628799567e-11
10.8299,2.0812746799999996e-11
10.8299,2.060668e-11
10.50108,1.751198e-11
10.170459999999999,1.468441e-11
9.796048,1.206091e-11
9.429210999999999,9.837542e-12
9.086278,8.109531e-12
8.755805,6.70122e-12
8.437344999999999,5.544856e-12
8.130474,4.584164e-12
7.834752000000001,3.799168e-12
7.5497309999999995,3.183976e-12
7.275111,2.651704e-12
7.0104489999999995,2.223538e-12
6.755376,1.881393e-12
6.509564,1.59933e-12
6.272702000000001,1.358483e-12
6.044444,1.15805e-12
5.824446,9.994296e-13
5.612443000000001,8.656489e-13
5.408117000000001,7.582585e-13
5.211207000000001,6.687856e-13
5.021451,5.926618e-13
4.838555,5.33483e-13
4.662314,4.814431e-13
4.492473,4.375018e-13
4.328771,4.042919e-13
4.171023,3.753887e-13
4.019028,3.479358e-13
3.872482,3.341188e-13
3.73127,3.220422e-13
3.6007550000000004,3.129504e-13
3.478326,3.05897e-13
3.372417,2.990723e-13
3.229496,2.957248e-13
3.0498670000000003,2.942972e-13
2.9251039999999997,2.962805e-13
2.8271750000000004,3.066628e-13
2.697655,3.094885e-13
2.599163,3.213062e-13
2.5042660000000003,3.338281e-13
2.412831,3.477867e-13
2.324718,3.661099e-13
2.239815,3.877274e-13
2.158002,4.140092e-13
2.079161,4.476739e-13
2.003195,4.859523e-13
1.929974,5.406497e-13
1.85942,6.064873e-13
1.7944710000000001,6.823487e-13
1.734682,7.927612e-13
1.6768779999999999,9.270711e-13
1.620999,1.086012e-12
1.574935,1.282341e-12
1.535348,1.530785e-12
1.4967480000000002,1.842085e-12
1.459122,2.210725e-12
1.422441,2.653958e-12
1.3890250000000002,3.193325e-12
1.358654,3.985267e-12
1.3312080000000002,4.895437e-12
1.304307,6.07518e-12
1.280116,7.493584e-12
1.2584970000000002,9.253196e-12
1.237239,1.148264e-11
1.2183920000000001,1.432688e-11
1.199823,1.809369e-11
1.1819739999999999,2.370446e-11
1.1672650000000002,2.999206109999996e-11
